,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.011264610290527343,0.002385942895955708,0.0010253429412841798,0.0020506858825683595,gini,4,"{'criterion': 'gini', 'max_depth': 4}",0.7398373983739838,0.7886178861788617,0.7560975609756098,0.7398373983739838,0.7540983606557377,0.7556977209116352,0.01783005759117497,2
1,0.013014793395996094,0.004098828016460064,0.0031963348388671874,0.003914698894677971,gini,5,"{'criterion': 'gini', 'max_depth': 5}",0.7398373983739838,0.7723577235772358,0.7235772357723578,0.7560975609756098,0.7295081967213115,0.7442756230840997,0.017858110431297307,3
2,0.010935688018798828,0.003868113039617917,0.003841114044189453,0.003552088712110529,gini,6,"{'criterion': 'gini', 'max_depth': 6}",0.7479674796747967,0.7723577235772358,0.6585365853658537,0.7398373983739838,0.680327868852459,0.7198054111688658,0.04305455496462413,21
3,0.008832883834838868,0.005173104270067564,0.005447006225585938,0.005345474901319788,gini,7,"{'criterion': 'gini', 'max_depth': 7}",0.7560975609756098,0.7804878048780488,0.6747967479674797,0.7398373983739838,0.7049180327868853,0.7312275089964014,0.037405469545542525,8
4,0.00903306007385254,0.005697713865960023,0.003022575378417969,0.0024679950115818567,gini,8,"{'criterion': 'gini', 'max_depth': 8}",0.7398373983739838,0.7804878048780488,0.6747967479674797,0.7642276422764228,0.6885245901639344,0.7295748367319739,0.04143435574734649,9
5,0.0033826351165771483,0.004152858685977904,0.0064007282257080075,0.0032003688174404117,gini,9,"{'criterion': 'gini', 'max_depth': 9}",0.7398373983739838,0.7967479674796748,0.6341463414634146,0.7560975609756098,0.7049180327868853,0.7263494602159136,0.05474220490419422,12
6,0.0036413192749023436,0.0019710404292871304,0.0036190509796142577,0.0031457224688970368,gini,10,"{'criterion': 'gini', 'max_depth': 10}",0.7073170731707317,0.7479674796747967,0.6666666666666666,0.7235772357723578,0.6885245901639344,0.7068106090896974,0.028004209947637023,33
7,0.007344341278076172,0.0021948384198504684,0.0006137371063232421,0.0012274742126464843,gini,11,"{'criterion': 'gini', 'max_depth': 11}",0.7235772357723578,0.7398373983739838,0.7073170731707317,0.7560975609756098,0.6967213114754098,0.7247101159536186,0.021453115900986666,15
8,0.00703120231628418,0.0025334267882665858,0.0010162353515625,0.002032470703125,gini,12,"{'criterion': 'gini', 'max_depth': 12}",0.7398373983739838,0.7723577235772358,0.6585365853658537,0.7398373983739838,0.6721311475409836,0.7165400506464081,0.04367538916431419,26
9,0.007077550888061524,0.00238361130754982,0.0018349170684814453,0.002247307830071157,gini,15,"{'criterion': 'gini', 'max_depth': 15}",0.7154471544715447,0.7560975609756098,0.6585365853658537,0.7642276422764228,0.7131147540983607,0.7214847394375583,0.037666914781417635,19
10,0.005416154861450195,0.003131864934106613,0.0006113529205322265,0.001222705841064453,gini,20,"{'criterion': 'gini', 'max_depth': 20}",0.7317073170731707,0.7235772357723578,0.7073170731707317,0.7317073170731707,0.7131147540983607,0.7214847394375583,0.009840326721912804,19
11,0.0016004562377929688,0.0032009124755859376,0.0016000747680664062,0.003200149536132813,gini,30,"{'criterion': 'gini', 'max_depth': 30}",0.7073170731707317,0.7479674796747967,0.6910569105691057,0.7479674796747967,0.6721311475409836,0.7132880181260829,0.030427265502656585,28
12,0.006850147247314453,0.0024548273097053162,0.0019338607788085937,0.002374192520479183,gini,40,"{'criterion': 'gini', 'max_depth': 40}",0.7154471544715447,0.7723577235772358,0.7154471544715447,0.7317073170731707,0.7049180327868853,0.7279754764760762,0.02378770231009786,11
13,0.007618093490600586,0.0013291665670563612,0.0,0.0,gini,50,"{'criterion': 'gini', 'max_depth': 50}",0.7317073170731707,0.7723577235772358,0.6747967479674797,0.7560975609756098,0.6967213114754098,0.7263361322137811,0.036237894188867296,13
14,0.0054149627685546875,0.003311374354082899,0.0020120620727539064,0.0027593081551198035,gini,70,"{'criterion': 'gini', 'max_depth': 70}",0.7235772357723578,0.7723577235772358,0.6910569105691057,0.7560975609756098,0.7131147540983607,0.7312408369985339,0.029361500973696393,7
15,0.006760025024414062,0.003404287676922028,0.0,0.0,gini,90,"{'criterion': 'gini', 'max_depth': 90}",0.7235772357723578,0.7642276422764228,0.6585365853658537,0.7642276422764228,0.7049180327868853,0.7230974276955885,0.039704438241317426,17
16,0.00100555419921875,0.0020111083984374997,0.004996156692504883,0.0040734618563884354,gini,120,"{'criterion': 'gini', 'max_depth': 120}",0.7073170731707317,0.7398373983739838,0.6747967479674797,0.7560975609756098,0.7049180327868853,0.716593362654938,0.028531339803527418,24
17,0.0024360179901123046,0.0030518213563502385,0.0006121158599853516,0.0012242317199707034,gini,150,"{'criterion': 'gini', 'max_depth': 150}",0.7154471544715447,0.7723577235772358,0.6504065040650406,0.7479674796747967,0.6967213114754098,0.7165800346528055,0.04212104163230156,25
18,0.0015997886657714844,0.0031995773315429688,0.004395771026611328,0.003805347211579501,entropy,4,"{'criterion': 'entropy', 'max_depth': 4}",0.7398373983739838,0.8048780487804879,0.7317073170731707,0.7317073170731707,0.7704918032786885,0.7557243769159003,0.028426025938642012,1
19,0.006810951232910156,0.0036749578978406386,0.0006134986877441406,0.0012269973754882812,entropy,5,"{'criterion': 'entropy', 'max_depth': 5}",0.7235772357723578,0.7886178861788617,0.7479674796747967,0.7479674796747967,0.7049180327868853,0.7426096228175397,0.028132050310658196,4
