,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
75,0.1267998695373535,0.020024537323619456,0.017703962326049805,0.003483378601909223,700,0.2,0.01,rbf,"{'C': 700, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'rbf'}",0.1472859399691937,0.036707437789104125,0.13873514313288882,0.020477195970863615,3.4262398717399556e-05,0.06864799585215353,0.061878274213018745,37
76,0.07999753952026367,0.025856017183065048,0.022283172607421874,0.003263052713837481,700,0.2,0.001,rbf,"{'C': 700, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf'}",0.1426024630683348,0.056204721259642265,0.13617972798692135,0.053231349052318744,0.025117936196456192,0.08266723951273466,0.04761192345839769,23
77,0.07099790573120117,0.004980587037975551,0.02920079231262207,0.004018826559698623,700,0.2,0.0001,rbf,"{'C': 700, 'epsilon': 0.2, 'gamma': 0.0001, 'kernel': 'rbf'}",0.0761965774437442,0.059276001786454424,0.09607508219439465,0.040976179750175756,0.0018184712643980472,0.05486846248783341,0.032185703305511855,48
78,0.07659759521484374,0.013616793686707505,0.026601076126098633,0.009870750406338336,700,0.1,1,rbf,"{'C': 700, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.09649000397375751,-0.035216405636405934,0.05929016964759226,0.07528603576521709,0.07508624726137791,0.05418721020230777,0.046239600498137495,53
79,0.09059910774230957,0.005889142089689866,0.014999008178710938,0.0006324872319750796,700,0.1,0.1,rbf,"{'C': 700, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.1945485809678107,-0.05082103962698192,0.0009749323319514502,-0.11738838255493489,0.054165497477173696,-0.06152351466812047,0.08743122795503815,94
80,0.0823714256286621,0.006826693664996521,0.016199588775634766,0.0007484600903068825,700,0.1,0.2,rbf,"{'C': 700, 'epsilon': 0.1, 'gamma': 0.2, 'kernel': 'rbf'}",-0.09861643541405063,-0.10658581699773939,-0.033914456023941275,0.09351724823708207,0.0322586851584552,-0.022668155008038805,0.07674998407152285,86
81,0.09437565803527832,0.013250775789433861,0.014000940322875976,0.001546098204738452,700,0.1,0.01,rbf,"{'C': 700, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.15051666359900762,0.03558693798008106,0.13957589643265556,0.019175787265611643,0.0011489842552150353,0.06920085390651418,0.06297359306229156,35
82,0.05693936347961426,0.006433970645648407,0.014602756500244141,0.0016282465767170071,700,0.1,0.001,rbf,"{'C': 700, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.14249930686997425,0.05578309083782074,0.1342487143268818,0.053141363775817796,0.02230522344046082,0.08159553985019108,0.0479017534120129,28
83,0.04739642143249512,0.0031361974405142157,0.015003395080566407,0.0008946314178667162,700,0.1,0.0001,rbf,"{'C': 700, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.07554039745590779,0.060006653505751406,0.09632083110233192,0.041208383467717935,0.0010503507424020064,0.054825323254822214,0.03241914980910384,50
84,0.06339631080627442,0.0074176529536037344,0.01740131378173828,0.0018564032451536836,1000,0.2,1,rbf,"{'C': 1000, 'epsilon': 0.2, 'gamma': 1, 'kernel': 'rbf'}",0.09440646242820983,-0.03205130917264887,0.052357735729947286,0.05482065772764777,0.05645121884501125,0.04519695311163345,0.04161591240994246,59
85,0.10761632919311523,0.0035890811604022566,0.016000890731811525,0.0006318910042013307,1000,0.2,0.1,rbf,"{'C': 1000, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'rbf'}",-0.22095463298621287,-0.05869403777414983,-0.002453473344245616,-0.11459807191950921,0.059440609570212244,-0.06745192129078106,0.09611353199671219,95
86,0.09019708633422852,0.009041499156558143,0.017400074005126952,0.001855154873871408,1000,0.2,0.2,rbf,"{'C': 1000, 'epsilon': 0.2, 'gamma': 0.2, 'kernel': 'rbf'}",-0.10490445484840238,-0.16158290313727353,-0.035975445170169484,0.06803414923466533,-0.00210026824829046,-0.047305784433894105,0.07981488867720242,91
87,0.10659589767456054,0.023293434219905308,0.01480412483215332,0.002134899417629935,1000,0.2,0.01,rbf,"{'C': 1000, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'rbf'}",0.1426793616569263,0.033353843844693865,0.13481169464138365,0.035296686110792064,-0.008438443066284051,0.06754062863750236,0.06025355249637575,40
88,0.058798360824584964,0.007026768392438399,0.01880030632019043,0.009622250193756595,1000,0.2,0.001,rbf,"{'C': 1000, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf'}",0.14370830280813518,0.05583107313350244,0.13365096623097183,0.07431808170756937,0.017678463166160063,0.08503737740926778,0.04756194559326721,17
89,0.06218376159667969,0.009891759068764404,0.021146678924560548,0.004410333255021236,1000,0.2,0.0001,rbf,"{'C': 1000, 'epsilon': 0.2, 'gamma': 0.0001, 'kernel': 'rbf'}",0.07458242164159656,0.06254770827011458,0.09538145282718546,0.042011189562957796,-0.003451471672846429,0.05421426012580159,0.03362528117787475,52
90,0.08699445724487305,0.016063087815884062,0.01940155029296875,0.0016284310727270462,1000,0.1,1,rbf,"{'C': 1000, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.09186374530678587,-0.03503941351255646,0.05122872787045529,0.05136821134563796,0.05551568730655465,0.042987391663375465,0.04188602684472754,62
91,0.11042795181274415,0.006958773942607783,0.01739645004272461,0.0018552923393147546,1000,0.1,0.1,rbf,"{'C': 1000, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.2237884634390459,-0.0615980959068958,-0.00912837299759417,-0.11409445042272126,0.05558128961232767,-0.07060561863078589,0.09501577284051303,96
92,0.08936147689819336,0.006961170609208706,0.01754307746887207,0.0014477184947024877,1000,0.1,0.2,rbf,"{'C': 1000, 'epsilon': 0.1, 'gamma': 0.2, 'kernel': 'rbf'}",-0.11056312372841837,-0.16654168679321102,-0.03978770447476565,0.07248839015315867,-0.0029495966277872654,-0.04947074429420473,0.08315033772395046,92
