score,parameters
0.006303730032890087,"{'C': 300, 'epsilon': 0.2, 'gamma': 0.2, 'kernel': 'rbf'}"
0.00513737325294088,"{'C': 300, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'rbf'}"
0.04372498405526173,"{'C': 300, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf'}"
0.010129031529378496,"{'C': 300, 'epsilon': 0.2, 'gamma': 0.0001, 'kernel': 'rbf'}"
0.037854955461671835,"{'C': 300, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf'}"
-0.015161692775394742,"{'C': 300, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}"
0.004764714122563585,"{'C': 300, 'epsilon': 0.1, 'gamma': 0.2, 'kernel': 'rbf'}"
0.004448533579775505,"{'C': 300, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}"
0.04373386050291668,"{'C': 300, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}"
0.009793295473397223,"{'C': 300, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}"
0.018610560713235257,"{'C': 500, 'epsilon': 0.2, 'gamma': 1, 'kernel': 'rbf'}"
-0.015005157347670361,"{'C': 500, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'rbf'}"
-0.01339841455728592,"{'C': 500, 'epsilon': 0.2, 'gamma': 0.2, 'kernel': 'rbf'}"
0.015078448477748663,"{'C': 500, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'rbf'}"
0.03977245686856392,"{'C': 500, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf'}"
0.015422849002700745,"{'C': 500, 'epsilon': 0.2, 'gamma': 0.0001, 'kernel': 'rbf'}"
0.017040069534675472,"{'C': 500, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf'}"
-0.016481210219496934,"{'C': 500, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}"
-0.015249237135256633,"{'C': 500, 'epsilon': 0.1, 'gamma': 0.2, 'kernel': 'rbf'}"
0.014734530971201166,"{'C': 500, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}"
0.03917546898920983,"{'C': 500, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}"
0.015738047054108372,"{'C': 500, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}"
0.006711138050334431,"{'C': 700, 'epsilon': 0.2, 'gamma': 1, 'kernel': 'rbf'}"
-0.020098140013790157,"{'C': 700, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'rbf'}"
-0.038755844418738875,"{'C': 700, 'epsilon': 0.2, 'gamma': 0.2, 'kernel': 'rbf'}"
0.017407999002776297,"{'C': 700, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'rbf'}"
0.03767454610194487,"{'C': 700, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf'}"
0.017827883713271975,"{'C': 700, 'epsilon': 0.2, 'gamma': 0.0001, 'kernel': 'rbf'}"
0.0050639157717757175,"{'C': 700, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf'}"
-0.021714455026728464,"{'C': 700, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}"
