,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.009372234344482422,0.007652397953584361,0.0,0.0,gini,3,"{'criterion': 'gini', 'max_depth': 3}",0.7073170731707317,0.7398373983739838,0.6910569105691057,0.7154471544715447,0.7540983606557377,0.7215513794482207,0.022642765484199936,5
1,0.0,0.0,0.003124570846557617,0.006249141693115233,gini,4,"{'criterion': 'gini', 'max_depth': 4}",0.7235772357723578,0.7154471544715447,0.7560975609756098,0.7398373983739838,0.7213114754098361,0.7312541650006664,0.014822416262219121,3
2,0.0,0.0,0.006248760223388672,0.0076531372871994,gini,5,"{'criterion': 'gini', 'max_depth': 5}",0.6991869918699187,0.6747967479674797,0.7642276422764228,0.7398373983739838,0.7295081967213115,0.7215113954418232,0.031321258727264066,6
3,0.009375,0.00765465544768263,0.0,0.0,gini,6,"{'criterion': 'gini', 'max_depth': 6}",0.6829268292682927,0.7154471544715447,0.7317073170731707,0.6504065040650406,0.7459016393442623,0.7052778888444622,0.034533046423243466,12
4,0.00625,0.00765465545956422,0.0,0.0,gini,7,"{'criterion': 'gini', 'max_depth': 7}",0.6910569105691057,0.7235772357723578,0.7154471544715447,0.6585365853658537,0.7459016393442623,0.7069039051046249,0.029874186836289392,11
5,0.006250238418579102,0.0076549474663224195,0.006249856948852539,0.0076544803285825665,gini,8,"{'criterion': 'gini', 'max_depth': 8}",0.7154471544715447,0.6829268292682927,0.6666666666666666,0.6097560975609756,0.6885245901639344,0.6726642676262828,0.03515865323787383,24
6,0.0031250476837158202,0.0062500953674316405,0.0031247615814208986,0.006249523162841797,gini,9,"{'criterion': 'gini', 'max_depth': 9}",0.6991869918699187,0.6910569105691057,0.7154471544715447,0.6585365853658537,0.7131147540983607,0.6954684792749567,0.020531890024215686,16
7,0.009374475479125977,0.007654227214324303,0.0,0.0,gini,10,"{'criterion': 'gini', 'max_depth': 10}",0.6910569105691057,0.7073170731707317,0.6829268292682927,0.6585365853658537,0.7131147540983607,0.690590430494469,0.019357288570331033,20
8,0.006251621246337891,0.0076566411796049165,0.0,0.0,gini,11,"{'criterion': 'gini', 'max_depth': 11}",0.6910569105691057,0.7154471544715447,0.6829268292682927,0.6910569105691057,0.7377049180327869,0.7036385445821671,0.020226375096476523,14
9,0.00937495231628418,0.007654617270556683,0.0,0.0,gini,12,"{'criterion': 'gini', 'max_depth': 12}",0.7154471544715447,0.6991869918699187,0.6747967479674797,0.6666666666666666,0.6967213114754098,0.6905637744902039,0.017613225864082042,21
10,0.0,0.0,0.0,0.0,gini,13,"{'criterion': 'gini', 'max_depth': 13}",0.6829268292682927,0.6910569105691057,0.7073170731707317,0.6585365853658537,0.7049180327868853,0.6889510862321738,0.017652313670227827,22
11,0.0,0.0,0.00624995231628418,0.007654597055093595,gini,14,"{'criterion': 'gini', 'max_depth': 14}",0.6829268292682927,0.6910569105691057,0.6829268292682927,0.6341463414634146,0.7295081967213115,0.6841130214580835,0.030359258049818157,23
12,0.003124904632568359,0.0062498092651367175,0.003126668930053711,0.006253337860107421,entropy,3,"{'criterion': 'entropy', 'max_depth': 3}",0.7073170731707317,0.7073170731707317,0.6910569105691057,0.7398373983739838,0.7786885245901639,0.7248433959749433,0.03124096209045367,4
13,0.00937347412109375,0.007653409751521002,0.0,0.0,entropy,4,"{'criterion': 'entropy', 'max_depth': 4}",0.7317073170731707,0.7398373983739838,0.7398373983739838,0.7235772357723578,0.7377049180327869,0.7345328535252567,0.006234542516238822,2
14,0.0062504768371582035,0.00765523954510689,0.0,0.0,entropy,5,"{'criterion': 'entropy', 'max_depth': 5}",0.7073170731707317,0.7073170731707317,0.7154471544715447,0.7398373983739838,0.7213114754098361,0.7182460349193656,0.012019168380528147,8
15,0.0062502861022949215,0.007655005943564191,0.0,0.0,entropy,6,"{'criterion': 'entropy', 'max_depth': 6}",0.6747967479674797,0.7235772357723578,0.7154471544715447,0.6910569105691057,0.6885245901639344,0.6986805277888843,0.01807021519430781,15
16,0.006251335144042969,0.00765629094805338,0.0031242847442626955,0.00624856948852539,entropy,7,"{'criterion': 'entropy', 'max_depth': 7}",0.7073170731707317,0.7073170731707317,0.7235772357723578,0.6910569105691057,0.6967213114754098,0.7051979208316673,0.011122966406367295,13
17,0.0031253814697265623,0.006250762939453125,0.0031250476837158202,0.0062500953674316405,entropy,8,"{'criterion': 'entropy', 'max_depth': 8}",0.7073170731707317,0.7235772357723578,0.7154471544715447,0.7560975609756098,0.6885245901639344,0.7181927229108356,0.02223414370505261,9
18,0.003124380111694336,0.006248760223388671,0.003124856948852539,0.006249713897705078,entropy,9,"{'criterion': 'entropy', 'max_depth': 9}",0.7235772357723578,0.7154471544715447,0.6991869918699187,0.7479674796747967,0.7131147540983607,0.7198587231773957,0.016100888549288345,7
19,0.006251049041748047,0.007655940909560878,0.003124856948852539,0.006249713897705078,entropy,10,"{'criterion': 'entropy', 'max_depth': 10}",0.7317073170731707,0.7154471544715447,0.7154471544715447,0.7967479674796748,0.7295081967213115,0.7377715580434494,0.030265600997031756,1
20,0.006250143051147461,0.007654831690313425,0.0031241416931152345,0.006248283386230469,entropy,11,"{'criterion': 'entropy', 'max_depth': 11}",0.6585365853658537,0.7398373983739838,0.6585365853658537,0.7317073170731707,0.6721311475409836,0.6921498067439692,0.036053701718490996,19
