,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
30,0.7864571412404379,0.026559684434796293,0.0,0.0,tanh,0.05,"(100,)",constant,lbfgs,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'lbfgs'}",0.6536585365853659,0.7268292682926829,0.6421568627450981,0.6742148892077156,0.03749912701343376,66
31,0.4062510331471761,0.058464331229427534,0.010416746139526367,0.007365751910973585,tanh,0.05,"(100,)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",0.6536585365853659,0.697560975609756,0.6323529411764706,0.6611908177905308,0.027148644948117237,88
32,0.9374992847442627,0.19263824701192792,0.010417540868123373,0.007366313843225558,tanh,0.05,"(100,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",0.7121951219512195,0.7170731707317073,0.6519607843137255,0.6937430256655507,0.02961154740145401,37
33,0.7864600817362467,0.01473009878712298,0.00520936648050944,0.007367156728108248,tanh,0.05,"(100,)",adaptive,lbfgs,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",0.6878048780487804,0.697560975609756,0.6617647058823529,0.6823768531802964,0.015109397121855649,53
34,1.1041667461395264,0.10850349887324925,0.010414997736612955,0.007364515526244778,tanh,0.05,"(100,)",adaptive,sgd,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.7170731707317073,0.697560975609756,0.6862745098039216,0.7003028853817949,0.012722104926326212,25
35,1.0468743642171223,0.13441039920681758,0.015625635782877605,2.3468054231378872e-06,tanh,0.05,"(100,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.7219512195121951,0.7268292682926829,0.6225490196078431,0.6904431691375738,0.048049699931427006,43
36,1.3697919845581055,0.014731840841103856,0.005208253860473633,0.007365583245763841,relu,0.0001,"(50, 50, 50)",constant,lbfgs,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'constant', 'solver': 'lbfgs'}",0.7219512195121951,0.7073170731707317,0.6519607843137255,0.6937430256655507,0.03014250961762003,37
37,0.4270842870076497,0.036823083556908456,0.005208412806193034,0.007365808028955899,relu,0.0001,"(50, 50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",0.7219512195121951,0.6731707317073171,0.696078431372549,0.6970667941973536,0.0199268101381958,28
38,0.5156293710072836,0.05846579683034893,0.0,0.0,relu,0.0001,"(50, 50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",0.6634146341463415,0.6682926829268293,0.6470588235294118,0.6595887135341942,0.009081022248813332,91
39,1.3958299954732258,0.014727514415976905,0.005208253860473633,0.007365583245763841,relu,0.0001,"(50, 50, 50)",adaptive,lbfgs,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",0.7268292682926829,0.7121951219512195,0.6715686274509803,0.7035310058982942,0.023377122531695087,19
