,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
31,0.49959834416707355,0.05371312546565209,0.0050963560740153,0.0008668071180694428,tanh,0.0005,"(1,)",sgd,"{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (1,), 'solver': 'sgd'}",-0.0016766559892464894,-1.0455778567397545e-06,-0.001792582553646227,-0.0011567613735831521,0.0008185837332254746,19
32,1.09827987353007,0.019379741213145205,0.0045871734619140625,0.0025781468722413086,tanh,0.0005,"(1,)",adam,"{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (1,), 'solver': 'adam'}",-3.8779275184819753,-4.825356266115205,-3.9842518311422186,-4.2291785385797995,0.4237901422265728,37
33,0.5387651125590006,0.5441950749608377,0.008940855662027994,0.006893905789401341,tanh,0.0005,"(50,)",lbfgs,"{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (50,), 'solver': 'lbfgs'}",0.2163664090399029,0.3933395575103923,-0.0018844361817023092,0.20260717678953097,0.16164258649166263,13
34,0.16089574495951334,0.038039850842277234,0.009335517883300781,0.008180057963826664,tanh,0.0005,"(50,)",sgd,"{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (50,), 'solver': 'sgd'}",-0.006007440331283531,-0.00016204630553473542,-0.000483305361753672,-0.002217597332857313,0.0026830311601918756,27
35,1.6060640811920166,0.019882752157213388,0.006266117095947266,0.0008766635483758965,tanh,0.0005,"(50,)",adam,"{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (50,), 'solver': 'adam'}",-0.39635615081844855,-0.3198878390068163,-0.4092664859394197,-0.37517015858822816,0.03944422502690741,29
36,0.15013933181762695,0.18741063913694136,0.013438940048217773,0.011814362262992782,relu,5e-05,"(1,)",lbfgs,"{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}",-0.0015917206771396408,0.4011902945005833,-0.0018844403371849339,0.13257137782875292,0.1899422951261087,15
37,0.6635191440582275,0.42429659620653143,0.005249977111816406,0.002270869794738256,relu,5e-05,"(1,)",sgd,"{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (1,), 'solver': 'sgd'}",-29.884919898330665,-2.5155981503210967e-05,-0.0016148875453025902,-9.962186647285824,14.087499796534217,41
38,1.1071333090464275,0.04276138877330757,0.009349505106608072,0.0008821629689189274,relu,5e-05,"(1,)",adam,"{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (1,), 'solver': 'adam'}",-4.833408299193376,-4.447631701690833,0.32581102814572893,-2.98507632424616,2.346442298596834,34
39,0.8217474619547526,0.01980900850058354,0.01359415054321289,0.009949213699157767,relu,5e-05,"(50,)",lbfgs,"{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (50,), 'solver': 'lbfgs'}",0.8220743617985089,0.8310656320004064,0.7939187933638521,0.815686262387589,0.015823563984037572,2
40,0.0951082706451416,0.00981770810677841,0.003082911173502604,0.0010343019011229036,relu,5e-05,"(50,)",sgd,"{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (50,), 'solver': 'sgd'}",-1073128678.6493165,-505548382.6907148,-3359914841.5697074,-1646197300.9699128,1233736250.800705,43
41,1.1991992791493733,0.1473448653468714,0.005946159362792969,0.00281948506012743,relu,5e-05,"(50,)",adam,"{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (50,), 'solver': 'adam'}",0.5970348416640625,0.8253937316007571,0.7092888344068617,0.7105724692238938,0.09323154488346912,3
42,0.02140196164449056,0.012426039862958583,0.005793094635009766,0.00335479356206648,relu,0.0005,"(1,)",lbfgs,"{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'}",-0.0015917206771389747,-4.945592033678281e-07,-0.0018844403372091367,-0.0011588851911838265,0.0008277772816577184,22
43,0.5044271151224772,0.3343005475988592,0.002229770024617513,0.0018909465385378468,relu,0.0005,"(1,)",sgd,"{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (1,), 'solver': 'sgd'}",-0.0018544977375711813,-8.026487601453525e-06,-6.061434922127927,-2.0210991487843666,2.8569489230510463,33
44,0.7154730161031088,0.012128996993403876,0.0032666524251302085,0.00045796497265611136,relu,0.0005,"(1,)",adam,"{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (1,), 'solver': 'adam'}",-4.436562148228772,-1.3713531187287296,-4.982716399842737,-3.596877222266746,1.5894001527223032,36
45,0.590349038441976,0.012424721977830018,0.004963477452596028,0.0037120892548243682,relu,0.0005,"(50,)",lbfgs,"{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (50,), 'solver': 'lbfgs'}",0.8247355375198485,0.8409248140940747,0.7942759650614821,0.8199787722251352,0.01933906049197058,1
46,0.06424697240193684,0.01244265394353438,0.006625016530354817,0.0032888199729175778,relu,0.0005,"(50,)",sgd,"{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (50,), 'solver': 'sgd'}",-2.3898514167915327e+21,-1680157440.0566034,-37655632629.27757,-7.966171389436228e+20,1.126586761885109e+21,44
47,0.9875640869140625,0.007539453792902908,0.0023583571116129556,0.0020599784516896666,relu,0.0005,"(50,)",adam,"{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (50,), 'solver': 'adam'}",0.7381792522857147,0.6371625934759643,0.683982228992458,0.6864413582513791,0.041276521387712595,4
